Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Species,LFQ intensity UPS1_01,LFQ intensity UPS1_02,LFQ intensity UPS1_03,LFQ intensity UPS1_04,LFQ intensity UPS2_01,LFQ intensity UPS2_02,LFQ intensity UPS2_03,LFQ intensity UPS2_04
P00393,P00393,NADH dehydrogenase,ndh,>sp|P00393|DHNA_ECOLI NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2,ECOLI,30.698741813219463,30.718439739758914,30.802954203535094,30.50493859759562,30.897963541689982,30.655957363554002,30.900865473197264,30.717267855760866
P00448,P00448,Superoxide dismutase [Mn],sodA,>sp|P00448|SODM_ECOLI Superoxide dismutase [Mn] OS=Escherichia coli (strain K12) GN=sodA PE=1 SV=2,ECOLI,33.25228018245633,33.279337059045524,33.30461489378651,33.354887123793105,33.314200122662086,33.41529754627104,33.20174420375557,33.124188368841196
P00452;P00452-2,P00452;P00452-2,Ribonucleoside-diphosphate reductase 1 subunit alpha,nrdA,>sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2;>sp|P00452-2|RIR1_ECOLI Isoform Alpha of Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN,ECOLI,31.68774608315308,31.800370689533004,31.700594244436438,31.856450768156947,31.83779566182806,31.673162475777914,31.804034788616704,31.796385838655794
P00490,P00490,Maltodextrin phosphorylase,malP,>sp|P00490|PHSM_ECOLI Maltodextrin phosphorylase OS=Escherichia coli (strain K12) GN=malP PE=1 SV=7,ECOLI,32.220617010086684,32.047172077727936,32.157343104172114,32.11221287995408,32.07978970513781,32.14680989297851,31.981660500410555,32.115315189913325
P00509,P00509,Aspartate aminotransferase,aspC,>sp|P00509|AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1,ECOLI,33.45614705769429,33.42034312163864,33.52384670963473,33.521235072392074,33.47174599191531,33.49636418080011,33.36778172001134,33.57643777595473
P00547,P00547,Homoserine kinase,thrB,>sp|P00547|KHSE_ECOLI Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2,ECOLI,25.99446601637071,25.772053198162794,25.951030365163625,26.141704395843163,25.667304321452804,25.724772940584785,25.828603821855097,25.943357096162018
P00550,P00550,PTS system mannitol-specific EIICBA component;Mannitol permease IIC component;Mannitol-specific phosphotransferase enzyme IIB component;Mannitol-specific phosphotransferase enzyme IIA component,mtlA,>sp|P00550|PTM3C_ECOLI PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) GN=mtlA PE=1 SV=1,ECOLI,30.853569494694085,31.143560649151226,31.068948502158868,31.308066267040118,31.269596235936767,30.969635053779946,31.332880922914015,31.208649716415096
P00561,P00561,Bifunctional aspartokinase/homoserine dehydrogenase 1;Aspartokinase;Homoserine dehydrogenase,thrA,>sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2,ECOLI,29.59807191753047,29.820938873048654,29.785276019221612,29.746548775402744,29.782174695973794,29.613318311055693,29.737408394565726,29.75442688816782
P00562,P00562,Bifunctional aspartokinase/homoserine dehydrogenase 2;Aspartokinase;Homoserine dehydrogenase,metL,>sp|P00562|AK2H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) GN=metL PE=1 SV=3,ECOLI,28.432161419090683,27.706504620367475,28.16584844166075,27.494851580120695,28.008560372810308,27.95503311306885,27.84911628178861,27.810040992960012
P00579,P00579,RNA polymerase sigma factor rpoD,rpoD,>sp|P00579|RPOD_ECOLI RNA polymerase sigma factor rpoD OS=Escherichia coli (strain K12) GN=rpoD PE=1 SV=2,ECOLI,32.603243991018736,32.175808138400825,32.03930957836228,31.900920477372658,31.99792093189742,32.049855201953406,31.816012338919762,31.873272441467094
P00582,P00582,DNA polymerase I,polA,>sp|P00582|DPO1_ECOLI DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1,ECOLI,31.75738746736468,31.756343091789077,31.758345820439757,31.763691300247686,31.766040144471177,31.74754379734847,31.74419573505444,31.736326191576545
P00709ups,P00709ups,NA,NA,>P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human),UPS,32.2519703464464,32.122728826980286,32.1713365568225,31.8987527492664,27.812464896991756,28.010316409810834,27.977321564686214,27.95621025012914
P00803,P00803,Signal peptidase I,lepB,>sp|P00803|LEP_ECOLI Signal peptidase I OS=Escherichia coli (strain K12) GN=lepB PE=1 SV=2,ECOLI,31.07634376658838,30.248801640734136,30.53255081488247,30.126331963308175,29.876738209466744,30.811769375033165,29.588296517753896,29.772447976767964
P00805,P00805,L-asparaginase 2,ansB,>sp|P00805|ASPG2_ECOLI L-asparaginase 2 OS=Escherichia coli (strain K12) GN=ansB PE=1 SV=2,ECOLI,29.45458125095707,29.59461443250006,29.82991711749351,29.546812519618342,29.381693456941377,29.61161168848094,29.65165217970393,29.67282527919948
P00811,P00811,Beta-lactamase,ampC,>sp|P00811|AMPC_ECOLI Beta-lactamase OS=Escherichia coli (strain K12) GN=ampC PE=1 SV=1,ECOLI,27.222337556239196,26.729948516759116,26.513549270200613,26.299117558118525,26.594611024487968,26.923067140406545,26.54173668800329,26.829552702590995
P00864,P00864,Phosphoenolpyruvate carboxylase,ppc,>sp|P00864|CAPP_ECOLI Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1,ECOLI,32.314431568651074,32.12597736764426,32.043802853984694,31.955889635778533,31.923155633143857,32.18314144933429,31.92894993895481,31.912012829762958
P00887,P00887,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",aroH,">sp|P00887|AROH_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) GN=aroH PE=3 SV=4",ECOLI,28.64595285840214,28.548129802748328,28.470584941006756,28.29141791601495,28.506013943258672,28.40542908837481,28.51828822554223,28.448310022413224
P00888,P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",aroF,">sp|P00888|AROF_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive OS=Escherichia coli (strain K12) GN=aroF PE=1 SV=1",ECOLI,24.279862156524196,23.39508728421633,24.781853383932443,24.532667337111015,23.73541545928,24.762829784151535,24.750969779207963,24.79700879502147
P00893,P00893,Acetolactate synthase isozyme 3 large subunit,ilvI,>sp|P00893|ILVI_ECOLI Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) GN=ilvI PE=1 SV=2,ECOLI,24.43804146518638,24.391038403111395,24.584838003397557,24.472124943068003,24.39222467160976,24.486719447850625,24.064255106883905,24.667888960159615
P00895,P00895,Anthranilate synthase component 1,trpE,>sp|P00895|TRPE_ECOLI Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2,ECOLI,29.460307751156577,29.308678874185745,29.125389229323396,28.90805095837893,29.14138764255172,28.915817327579425,29.068281325024856,28.95177899390201
P00903,P00903,Para-aminobenzoate synthase glutamine amidotransferase component II,pabA,>sp|P00903|PABA_ECOLI Para-aminobenzoate synthase glutamine amidotransferase component II OS=Escherichia coli (strain K12) GN=pabA PE=1 SV=1,ECOLI,26.06014630915947,25.210053994971616,25.167642573640464,25.964612379695126,25.727552228478302,25.734174779622883,25.355290155612238,25.640543235184374
P00904,P00904,Anthranilate synthase component II;Glutamine amidotransferase;Anthranilate phosphoribosyltransferase,trpD,>sp|P00904|TRPG_ECOLI Anthranilate synthase component II OS=Escherichia coli (strain K12) GN=trpD PE=1 SV=3,ECOLI,28.01631483646846,28.151981490671673,27.92551644489535,28.07011202732322,28.010087062225914,27.754956224273023,28.088148025704164,27.791825281530258
P00909,P00909,Tryptophan biosynthesis protein TrpCF;Indole-3-glycerol phosphate synthase;N-(5-phospho-ribosyl)anthranilate isomerase,trpC,>sp|P00909|TRPC_ECOLI Tryptophan biosynthesis protein TrpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3,ECOLI,28.863426979693287,28.722407277607374,28.386518267241165,28.20385592463061,28.50164196690732,28.240608607642628,28.587071694526976,28.478010674985242
P00915ups,P00915ups,NA,NA,>P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human),UPS,33.91067987691875,33.879416193218375,33.66605841768916,33.831798663766115,35.42126276384379,35.57562185167049,35.54000703727384,35.528240459244884
P00918ups,P00918ups,NA,NA,>P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human),UPS,33.25860318033905,33.529809366599984,33.13769208785605,33.408182618820206,34.97928737958095,34.96327822895434,35.07983344474863,35.17319990047775
P00926,P00926,D-serine dehydratase,dsdA,>sp|P00926|SDHD_ECOLI D-serine dehydratase OS=Escherichia coli (strain K12) GN=dsdA PE=1 SV=3,ECOLI,28.45501201724872,28.583314742432634,28.697175483448717,28.816825598040992,28.732478145931488,28.736115809216216,28.746631381729877,28.714860829756695
P00934,P00934,Threonine synthase,thrC,>sp|P00934|THRC_ECOLI Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1,ECOLI,30.894999229773276,31.142450599052175,31.019378063694766,31.096567893365666,31.075710481172194,30.952812093770525,31.163599011391725,31.01455681156871
P00935,P00935,Cystathionine gamma-synthase,metB,>sp|P00935|METB_ECOLI Cystathionine gamma-synthase OS=Escherichia coli (strain K12) GN=metB PE=1 SV=1,ECOLI,26.56515554941344,26.12526955928486,26.264692961028985,26.186597339022363,26.036458054797308,26.219307890364355,26.491386886907073,26.222494533533975
P00936,P00936,Adenylate cyclase,cyaA,>sp|P00936|CYAA_ECOLI Adenylate cyclase OS=Escherichia coli (strain K12) GN=cyaA PE=3 SV=5,ECOLI,23.505444193886802,23.21366637880798,23.356375155937528,23.836553030939456,23.213651804397436,23.35328159505113,23.32713080912138,23.158016182718008
P00944,P00944,Xylose isomerase,xylA,>sp|P00944|XYLA_ECOLI Xylose isomerase OS=Escherichia coli (strain K12) GN=xylA PE=3 SV=1,ECOLI,27.854104057180614,27.923947825732192,27.142198403161373,27.95002549500584,28.02208622938103,27.842326179190472,28.41800504092062,27.82109663450852
P00946,P00946,Mannose-6-phosphate isomerase,manA,>sp|P00946|MANA_ECOLI Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=manA PE=1 SV=1,ECOLI,30.96815533424143,31.362752752015695,31.421302178021904,31.635038451240305,31.448176228460497,31.36224604984355,31.56758543948687,31.465471008333154
P00954,P00954,Tryptophan--tRNA ligase,trpS,>sp|P00954|SYW_ECOLI Tryptophan--tRNA ligase OS=Escherichia coli (strain K12) GN=trpS PE=1 SV=3,ECOLI,30.754049733601086,31.24455453447137,31.218748845256137,31.589397180928252,31.42783834041824,31.21398106911451,31.456961657450037,31.349495238438877
P00956,P00956,Isoleucine--tRNA ligase,ileS,>sp|P00956|SYI_ECOLI Isoleucine--tRNA ligase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5,ECOLI,33.05150506417038,32.9877201470817,33.102952879448395,33.00533605496437,32.94853323492406,33.091449350776266,32.963611198943596,32.96347885696005
P00957,P00957,Alanine--tRNA ligase,alaS,>sp|P00957|SYA_ECOLI Alanine--tRNA ligase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,ECOLI,33.53559025818309,33.495443655063355,33.387624367527216,33.44207088078874,33.4504560960204,33.37827123836991,33.40753745315272,33.240045353208274
P00959,P00959,Methionine--tRNA ligase,metG,>sp|P00959|SYM_ECOLI Methionine--tRNA ligase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2,ECOLI,31.982623352782433,32.35872243058892,32.338421454373346,32.56089164730821,32.42660693058837,32.344210768899536,32.51931509826203,32.44605380978601
P00960,P00960,Glycine--tRNA ligase alpha subunit,glyQ,>sp|P00960|SYGA_ECOLI Glycine--tRNA ligase alpha subunit OS=Escherichia coli (strain K12) GN=glyQ PE=1 SV=2,ECOLI,31.190273374625953,31.587707506176883,31.394782843319327,31.796119836463042,31.823906838446618,31.523097089216634,31.637247789933426,31.68761445536873
P00961,P00961,Glycine--tRNA ligase beta subunit,glyS,>sp|P00961|SYGB_ECOLI Glycine--tRNA ligase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4,ECOLI,33.443252059797516,33.534518289722655,33.63280746346507,33.660381623292054,33.703438531927475,33.62037749414994,33.719216757856614,33.73087020887066
P00962,P00962,Glutamine--tRNA ligase,glnS,>sp|P00962|SYQ_ECOLI Glutamine--tRNA ligase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3,ECOLI,31.56853620080998,31.76882604300269,31.706529951448964,31.905678045024708,31.841533551410336,31.80268793479145,31.85791876365358,31.88042608168908
P00963,P00963,Aspartate--ammonia ligase,asnA,>sp|P00963|ASNA_ECOLI Aspartate--ammonia ligase OS=Escherichia coli (strain K12) GN=asnA PE=1 SV=1,ECOLI,28.831811865038688,29.01296706533448,28.84675053972842,28.92655462400195,28.96416625345185,28.974799289955193,28.804272347491093,28.50678269240057
P00968,P00968,Carbamoyl-phosphate synthase large chain,carB,>sp|P00968|CARB_ECOLI Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2,ECOLI,31.646938671834647,31.539001008661117,31.57732949909483,31.52001332549269,31.45089225569614,31.62474950552391,31.402691837528984,31.612019136468014
P01008ups;CON__P41361,P01008ups,NA,NA,>P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human),UPS,33.67216779021902,33.827120133094596,33.60427194797203,33.74396295739578,24.47695668379896,25.826523068174552,24.995806501512504,24.900923122013502
P01031ups,P01031ups,NA,NA,>P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human),UPS,30.72860556645815,30.524351363309208,30.633367972831806,31.00158689342802,32.68178074454301,32.920528715297024,32.51684846875316,32.606541094242246
P01133ups,P01133ups,NA,NA,>P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human),UPS,29.80183017485883,29.937636035389886,30.06954505429657,30.44311251999641,28.782405757626314,29.194732161818138,29.284425506705908,29.381188563637174
P01344ups,P01344ups,NA,NA,>P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human),UPS,31.536793159547173,32.06752432297228,31.904783991617897,32.3061865338219,25.018031305338553,23.54915300318566,24.585351737389416,31.49183959777291
P02144ups,P02144ups,NA,NA,>P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human),UPS,33.13652481985504,32.59340539701601,32.77691116213624,32.40482597498574,31.52843054645203,31.61232000035315,31.7260508373112,31.291058725943344
P02358,P02358,"30S ribosomal protein S6;30S ribosomal protein S6, fully modified isoform;30S ribosomal protein S6, non-modified isoform",rpsF,>sp|P02358|RS6_ECOLI 30S ribosomal protein S6 OS=Escherichia coli (strain K12) GN=rpsF PE=1 SV=1,ECOLI,34.0175249773322,33.63922389554738,33.90817863522135,33.77836655072412,33.604650769463994,34.0262165378258,33.63772692797332,33.66081881232864
P02359,P02359,30S ribosomal protein S7,rpsG,>sp|P02359|RS7_ECOLI 30S ribosomal protein S7 OS=Escherichia coli (strain K12) GN=rpsG PE=1 SV=3,ECOLI,33.96126287739348,33.827887575118616,34.119050960343785,33.75058912580791,33.61376872799371,34.10228551181426,33.666187848916536,34.07845060248184
P02413;P75981,P02413,50S ribosomal protein L15,rplO,>sp|P02413|RL15_ECOLI 50S ribosomal protein L15 OS=Escherichia coli (strain K12) GN=rplO PE=1 SV=1,ECOLI,32.7952651124778,32.69763919379287,32.927777395995406,32.49212706938558,32.62643782603127,33.045726548002534,32.56414833862035,32.71072626850105
P02753ups,P02753ups,NA,NA,>P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human),UPS,32.62628939795004,32.15580684965281,32.2473566643424,32.01619217832634,28.265745085693446,28.48988081199419,28.211225748952174,27.63998245192017
P02787ups;CON__Q2HJF0,P02787ups,NA,NA,>P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human),UPS,35.311258360692726,34.92208748370666,34.79555116576264,34.731126338558305,22.560325467489477,34.77294473535211,22.580744041176168,19.55324912032937
P02788ups,P02788ups,NA,NA,>P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human),UPS,34.12709490666029,34.04779804012177,33.983794893433554,36.445586496802534,19.86215029131332,23.198717673014947,20.647555644413806,22.66856993381319
P02916,P02916,Maltose transport system permease protein malF,malF,>sp|P02916|MALF_ECOLI Maltose transport system permease protein malF OS=Escherichia coli (strain K12) GN=malF PE=1 SV=1,ECOLI,27.687604459920628,27.78201000602516,27.915169021786106,28.084729744815156,27.721562287716814,27.883231326100173,27.963774039030433,27.82603536226876
P02918,P02918,Penicillin-binding protein 1A;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase,mrcA,>sp|P02918|PBPA_ECOLI Penicillin-binding protein 1A OS=Escherichia coli (strain K12) GN=mrcA PE=1 SV=1,ECOLI,27.64458017034341,27.15516489780761,27.232096763412393,27.507046232818077,27.17427716151405,27.569735944204105,27.342849964185696,27.716824757879387
P02919-2;P02919,P02919-2;P02919,Penicillin-binding protein 1B;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase,mrcB,>sp|P02919-2|PBPB_ECOLI Isoform Gamma of Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB;>sp|P02919|PBPB_ECOLI Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2,ECOLI,29.61179970651399,29.444998362545093,29.89430869833832,29.721060462234256,29.602187734658585,29.919578863233113,29.431062941862372,29.63787757115921
P02924,P02924,L-arabinose-binding periplasmic protein,araF,>sp|P02924|ARAF_ECOLI L-arabinose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=araF PE=1 SV=2,ECOLI,30.297062569804545,30.455901873266072,30.2501952623832,30.400644690704752,30.38830724093024,30.261529935718755,30.422944621261195,30.56082764753252
P02925,P02925,D-ribose-binding periplasmic protein,rbsB,>sp|P02925|RBSB_ECOLI D-ribose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=rbsB PE=1 SV=1,ECOLI,36.11516210039743,35.751249728055996,36.04361310197875,35.675127485750245,35.784499029507664,36.01497164735601,35.71520040541653,35.80269560641889
P02930,P02930,Outer membrane protein tolC,tolC,>sp|P02930|TOLC_ECOLI Outer membrane protein tolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3,ECOLI,33.03895613574142,33.430610554889576,33.496379925438546,33.69816251382418,33.463964123526154,33.523290234011206,33.50769193172874,33.57174181883498
P02931;P02932,P02931,Outer membrane protein F,ompF,>sp|P02931|OMPF_ECOLI Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1,ECOLI,35.204608290698324,34.68880555512979,35.140423434032925,34.82658164060846,34.75659397169139,35.190404151629984,34.62259920680299,34.5505297893946
P02943,P02943,Maltoporin,lamB,>sp|P02943|LAMB_ECOLI Maltoporin OS=Escherichia coli (strain K12) GN=lamB PE=1 SV=1,ECOLI,32.592560924172,32.75099180546953,32.884830523346906,33.296119715543234,33.00523159481049,33.043943885604776,33.28628687739749,33.051532071600455
P03004,P03004,Chromosomal replication initiator protein DnaA,dnaA,>sp|P03004|DNAA_ECOLI Chromosomal replication initiator protein DnaA OS=Escherichia coli (strain K12) GN=dnaA PE=1 SV=2,ECOLI,27.64629582643915,27.027577848158707,27.314932545877966,26.78925536922904,27.07857342072751,27.60870214823717,27.315528035485855,26.7632969983025
P03018,P03018,DNA helicase II,uvrD,>sp|P03018|UVRD_ECOLI DNA helicase II OS=Escherichia coli (strain K12) GN=uvrD PE=1 SV=1,ECOLI,26.91184284301726,27.113574922570756,27.132385145664855,27.99314511954136,27.58291438523976,27.36453319978242,27.512883984031426,27.28557369306565
P03813,P03813,Uncharacterized protein YgeA,ygeA,>sp|P03813|YGEA_ECOLI Uncharacterized protein YgeA OS=Escherichia coli (strain K12) GN=ygeA PE=1 SV=1,ECOLI,27.91952479188793,27.669444511771587,28.002954610888906,27.652606624307765,27.78357590158395,27.870170248215828,27.466430751298184,27.73893931100359
P03817,P03817,Protein mioC,mioC,>sp|P03817|MIOC_ECOLI Protein mioC OS=Escherichia coli (strain K12) GN=mioC PE=1 SV=4,ECOLI,27.74650348092421,28.108834022172886,28.086332565334153,28.57617370029746,28.439509027757076,28.002856035401045,28.144821602211927,28.29247186731959
P03819,P03819,Glutathione-regulated potassium-efflux system protein kefC,kefC,>sp|P03819|KEFC_ECOLI Glutathione-regulated potassium-efflux system protein kefC OS=Escherichia coli (strain K12) GN=kefC PE=1 SV=2,ECOLI,25.98349769533771,25.790765392650677,25.406207114917784,24.715241648545998,25.071652462872848,25.389413028020563,25.933796277055855,24.470317841244906
P03841,P03841,Maltose operon periplasmic protein,malM,>sp|P03841|MALM_ECOLI Maltose operon periplasmic protein OS=Escherichia coli (strain K12) GN=malM PE=4 SV=1,ECOLI,30.263138640336166,30.851572370467878,31.049189819556183,31.20259116275588,31.007177061248093,31.054807402428985,30.92174899071037,31.06198920432908
P04036,P04036,Dihydrodipicolinate reductase,dapB,>sp|P04036|DAPB_ECOLI Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1,ECOLI,29.717305555982747,29.67484620571586,29.902992557734564,30.10543018628109,29.799630754854384,29.890796036530332,29.88782446729327,29.771152952487164
P04040ups,P04040ups,NA,NA,>P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human),UPS,34.674166347337646,34.62229220933805,34.696845174024226,34.46190586309777,33.689953393000664,33.73446509959489,33.68737228572712,33.68488638325254
P04079,P04079,GMP synthase [glutamine-hydrolyzing],guaA,>sp|P04079|GUAA_ECOLI GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1,ECOLI,31.371191470043698,31.789735320283334,31.655479185829556,32.139763629995066,32.01535881174018,31.720214073957223,32.09179563335264,31.98206802577368
P04128,P04128,"Type-1 fimbrial protein, A chain",fimA,">sp|P04128|FIMA1_ECOLI Type-1 fimbrial protein, A chain OS=Escherichia coli (strain K12) GN=fimA PE=1 SV=2",ECOLI,28.743044239792248,29.280341055409423,29.386390585697526,29.632918603636988,29.464645815320132,29.273704455081948,29.4982566747722,29.486316497513847
P04335,P04335,Esterase FrsA,frsA,>sp|P04335|FRSA_ECOLI Esterase frsA OS=Escherichia coli (strain K12) GN=frsA PE=3 SV=2,ECOLI,29.78591770825534,29.798108902501866,29.790190521435534,29.44608449462612,29.374620159232492,29.859470359558614,29.677866623635715,29.45380934474629
P04425,P04425,Glutathione synthetase,gshB,>sp|P04425|GSHB_ECOLI Glutathione synthetase OS=Escherichia coli (strain K12) GN=gshB PE=1 SV=1,ECOLI,30.61483461515307,30.81697077789245,31.078661432249532,31.0478387252801,30.810336304166235,31.16549226706656,30.87374516124367,31.011011550206455
