Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Species,LFQ intensity UPS1_01,LFQ intensity UPS1_02,LFQ intensity UPS1_03,LFQ intensity UPS1_04,LFQ intensity UPS2_01,LFQ intensity UPS2_02,LFQ intensity UPS2_03,LFQ intensity UPS2_04
P00709ups,P00709ups,NA,NA,>P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human),UPS,5.0131240757352975,5.004458534635676,5.0083786325869,4.994257609013184,4.796100867464995,4.80994396492621,4.806343092567227,4.804118927301876
P00803,P00803,Signal peptidase I,lepB,>sp|P00803|LEP_ECOLI Signal peptidase I OS=Escherichia coli (strain K12) GN=lepB PE=1 SV=2,ECOLI,4.959621929288274,4.917676126148051,4.932987084480345,4.911713728153156,4.899499666913048,4.947280258469783,4.887103324494066,4.894987653415088
P00805,P00805,L-asparaginase 2,ansB,>sp|P00805|ASPG2_ECOLI L-asparaginase 2 OS=Escherichia coli (strain K12) GN=ansB PE=1 SV=2,ECOLI,4.882400475534825,4.886107810920473,4.899415670365901,4.883666882771553,4.875370105073813,4.890037507099109,4.890188861623709,4.890149019026463
P00811,P00811,Beta-lactamase,ampC,>sp|P00811|AMPC_ECOLI Beta-lactamase OS=Escherichia coli (strain K12) GN=ampC PE=1 SV=1,ECOLI,4.768861655925859,4.739106377680736,4.729476497212206,4.715522638807518,4.731431768880251,4.7529114902330845,4.730356513155083,4.744732045302125
P00864,P00864,Phosphoenolpyruvate carboxylase,ppc,>sp|P00864|CAPP_ECOLI Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1,ECOLI,5.01591189504563,5.00460453325214,5.002650815412546,4.996841539258781,4.995173351078434,5.01002422231774,4.996930900382672,4.995170998714951
P00887,P00887,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",aroH,">sp|P00887|AROH_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) GN=aroH PE=3 SV=4",ECOLI,4.842295622464141,4.834127032918497,4.832162565916443,4.820972763012785,4.8316735220138325,4.8301237802979795,4.8339696488803305,4.829309999455034
P00888,P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",aroF,">sp|P00888|AROF_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive OS=Escherichia coli (strain K12) GN=aroF PE=1 SV=1",ECOLI,4.604090378228019,4.546672554088852,4.632087957370889,4.615110058824735,4.5671426277268345,4.632431495275849,4.629590777592012,4.630991584169093
P00893,P00893,Acetolactate synthase isozyme 3 large subunit,ilvI,>sp|P00893|ILVI_ECOLI Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) GN=ilvI PE=1 SV=2,ECOLI,4.425674859007148,4.606877814082657,4.620579734557482,4.611541568126946,4.606571888742703,4.435678166995664,4.5890025593528,4.62345396562991
P00895,P00895,Anthranilate synthase component 1,trpE,>sp|P00895|TRPE_ECOLI Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2,ECOLI,4.882680549454308,4.872089815863361,4.864950627044477,4.852107787078568,4.863509957756953,4.855780176959929,4.861525117700709,4.854635765880453
P00903,P00903,Para-aminobenzoate synthase glutamine amidotransferase component II,pabA,>sp|P00903|PABA_ECOLI Para-aminobenzoate synthase glutamine amidotransferase component II OS=Escherichia coli (strain K12) GN=pabA PE=1 SV=1,ECOLI,4.70601136319243,4.654571394314913,4.65436053622718,4.697036633437706,4.683557060953595,4.481519789143295,4.664388275119375,4.679288597697526
P00904,P00904,Anthranilate synthase component II;Glutamine amidotransferase;Anthranilate phosphoribosyltransferase,trpD,>sp|P00904|TRPG_ECOLI Anthranilate synthase component II OS=Escherichia coli (strain K12) GN=trpD PE=1 SV=3,ECOLI,4.810277225060767,4.813950411099165,4.804289269154141,4.80963269048682,4.806326729151954,4.796750019406006,4.812046125627011,4.795604928270053
P00909,P00909,Tryptophan biosynthesis protein TrpCF;Indole-3-glycerol phosphate synthase;N-(5-phospho-ribosyl)anthranilate isomerase,trpC,>sp|P00909|TRPC_ECOLI Tryptophan biosynthesis protein TrpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3,ECOLI,4.853191566359029,4.842914732587785,4.827898595721956,4.816496595662481,4.831452005032316,4.821740097584927,4.837444735177217,4.830816421295406
P00915ups,P00915ups,NA,NA,>P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human),UPS,5.085388067105126,5.081328283815674,5.073867633315374,5.079204378073372,5.145319896326952,5.154437349869594,5.151495769961899,5.1501248535441
P00918ups,P00918ups,NA,NA,>P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human),UPS,5.0574096437211375,5.066353027552016,5.051056216612413,5.0610120023775345,5.127189679135796,5.129417197467797,5.132695323685064,5.135627434350069
P00926,P00926,D-serine dehydratase,dsdA,>sp|P00926|SDHD_ECOLI D-serine dehydratase OS=Escherichia coli (strain K12) GN=dsdA PE=1 SV=3,ECOLI,4.832660737633389,4.835905502314633,4.8435931607172895,4.847543773669438,4.843101626582286,4.846798820621842,4.845473942480298,4.8427735415356645
P00934,P00934,Threonine synthase,thrC,>sp|P00934|THRC_ECOLI Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1,ECOLI,4.951189501392277,4.95971304911486,4.955797568114238,4.9574827461309,4.95632040518907,4.953860693783783,4.961931031317964,4.953992101850842
P00935,P00935,Cystathionine gamma-synthase,metB,>sp|P00935|METB_ECOLI Cystathionine gamma-synthase OS=Escherichia coli (strain K12) GN=metB PE=1 SV=1,ECOLI,4.733658825834047,4.706065630562759,4.715879158965888,4.709330752306111,4.700796064719178,4.7147557321716675,4.727617429442347,4.711690377968501
P00936,P00936,Adenylate cyclase,cyaA,>sp|P00936|CYAA_ECOLI Adenylate cyclase OS=Escherichia coli (strain K12) GN=cyaA PE=3 SV=5,ECOLI,4.557404162071877,4.5354299184444535,4.387282662602767,4.573537106810464,4.535033733916693,4.347418022125361,4.544125435414789,4.532259084403187
P00944,P00944,Xylose isomerase,xylA,>sp|P00944|XYLA_ECOLI Xylose isomerase OS=Escherichia coli (strain K12) GN=xylA PE=3 SV=1,ECOLI,4.801912050784541,4.802206942143624,4.763265309147394,4.803441749970494,4.80694529226995,4.801277841243181,4.828888084634187,4.797124662488355
P00946,P00946,Mannose-6-phosphate isomerase,manA,>sp|P00946|MANA_ECOLI Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=manA PE=1 SV=1,ECOLI,4.954597155866403,4.969890479169299,4.974361829977839,4.982271181662424,4.973525913527909,4.9727947974270155,4.980511284568392,4.974828767438234
P00954,P00954,Tryptophan--tRNA ligase,trpS,>sp|P00954|SYW_ECOLI Tryptophan--tRNA ligase OS=Escherichia coli (strain K12) GN=trpS PE=1 SV=3,ECOLI,4.94460121041547,4.9644389337107695,4.965036059460421,4.980186532750721,4.972591712134408,4.965967009752899,4.975447190669089,4.9694982275187725
P00956,P00956,Isoleucine--tRNA ligase,ileS,>sp|P00956|SYI_ECOLI Isoleucine--tRNA ligase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5,ECOLI,5.048409017863246,5.0428210633634345,5.049543691256393,5.04349614041552,5.040826604631988,5.05012841659536,5.042935771317929,5.041967232945317
P00957,P00957,Alanine--tRNA ligase,alaS,>sp|P00957|SYA_ECOLI Alanine--tRNA ligase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,ECOLI,5.069360582103332,5.064872561467733,5.061891631504101,5.062475820327406,5.0626579957122635,5.0625642121880094,5.062233341301678,5.05402797820805
P00959,P00959,Methionine--tRNA ligase,metG,>sp|P00959|SYM_ECOLI Methionine--tRNA ligase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2,ECOLI,5.001040277196788,5.015026491525218,5.0158485314302625,5.023921612701968,5.01776924520776,5.017217662268663,5.023360166105793,5.019128518909995
P00960,P00960,Glycine--tRNA ligase alpha subunit,glyQ,>sp|P00960|SYGA_ECOLI Glycine--tRNA ligase alpha subunit OS=Escherichia coli (strain K12) GN=glyQ PE=1 SV=2,ECOLI,4.964894499015761,4.980209287469659,4.973144275812632,4.989604534400625,4.9906768014571625,4.980165825945238,4.9836911640821455,4.984984374651507
P00961,P00961,Glycine--tRNA ligase beta subunit,glyS,>sp|P00961|SYGB_ECOLI Glycine--tRNA ligase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4,ECOLI,5.065387530477772,5.066555768462905,5.072442659898563,5.071870409165662,5.073537632998623,5.07297847233621,5.075629507913473,5.075187137249921
P00962,P00962,Glutamine--tRNA ligase,glnS,>sp|P00962|SYQ_ECOLI Glutamine--tRNA ligase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3,ECOLI,4.982263272400191,4.988464001056572,4.987392640261141,4.994571041739944,4.991476418598648,4.992889183323348,4.9937181207781,4.993741452164411
P00963,P00963,Aspartate--ammonia ligase,asnA,>sp|P00963|ASNA_ECOLI Aspartate--ammonia ligase OS=Escherichia coli (strain K12) GN=asnA PE=1 SV=1,ECOLI,4.851612680670324,4.857447829254491,4.851089308063495,4.853031768511088,4.854700410531385,4.858715908404399,4.848363542868495,4.832274244183377
P00968,P00968,Carbamoyl-phosphate synthase large chain,carB,>sp|P00968|CARB_ECOLI Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2,ECOLI,4.985837280606949,4.977981343035184,4.981504614206411,4.977011668108598,4.973650625861056,4.984804720897252,4.972956332893038,4.981536444338609
P01008ups;CON__P41361,P01008ups,NA,NA,>P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human),UPS,5.075217139551137,5.079098067869744,5.071218643914282,5.075451040932851,4.611580895234449,4.693012963683266,4.643790061604977,4.637029311641669
P01031ups,P01031ups,NA,NA,>P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human),UPS,4.943408681333295,4.930768980383507,4.937740614432397,4.953065771365173,5.029088212409046,5.042666480047504,5.023250742041251,5.026251051453193
P01133ups,P01133ups,NA,NA,>P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human),UPS,4.8992863051974185,4.902746694738956,4.91095294469801,4.926817470598166,4.845608999999688,4.869610341793303,4.872211819754511,4.875890330625913
P01344ups,P01344ups,NA,NA,>P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human),UPS,4.9808137312769585,5.001975226326089,4.99638116030146,5.012582824541781,4.64316330242554,4.560050315957534,4.619905916545112,4.254896840735289
P02144ups,P02144ups,NA,NA,>P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human),UPS,5.052110831485288,5.025459544864762,5.035270200484125,5.016984567309995,4.977206426671508,4.984238301801213,4.987734623933995,4.9668048568397625
P02358,P02358,"30S ribosomal protein S6;30S ribosomal protein S6, fully modified isoform;30S ribosomal protein S6, non-modified isoform",rpsF,>sp|P02358|RS6_ECOLI 30S ribosomal protein S6 OS=Escherichia coli (strain K12) GN=rpsF PE=1 SV=1,ECOLI,5.089921136099725,5.071056484475055,5.084201501372482,5.076922315987904,5.06929897377725,5.090268855446388,5.07213901720194,5.0721861829269
P02359,P02359,30S ribosomal protein S7,rpsG,>sp|P02359|RS7_ECOLI 30S ribosomal protein S7 OS=Escherichia coli (strain K12) GN=rpsG PE=1 SV=3,ECOLI,5.087535904782283,5.079130821113445,5.0931417712745555,5.075734526748968,5.069690717583619,5.09348676662255,5.0733590565973214,5.089985611849358
P02413;P75981,P02413,50S ribosomal protein L15,rplO,>sp|P02413|RL15_ECOLI 50S ribosomal protein L15 OS=Escherichia coli (strain K12) GN=rplO PE=1 SV=1,ECOLI,5.037194368034314,5.030069269825191,5.041892397543506,5.020869169604312,5.026640848749481,5.048136059902206,5.025347603264496,5.030856106383951
P02753ups,P02753ups,NA,NA,>P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human),UPS,5.029750955399675,5.005944464374545,5.011782075343853,4.999563621218004,4.819448995740426,4.834400659878867,4.818353289280796,4.787695632429712
P02787ups;CON__Q2HJF0,P02787ups,NA,NA,>P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human),UPS,5.1437083989343,5.125089199407074,5.121454747838414,5.117082283778713,4.493793992542488,4.47511497440366,4.497215819191486,4.287937998531544
P02788ups,P02788ups,NA,NA,>P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human),UPS,5.094555064514969,5.088485758552639,5.087413748762307,5.186647790561457,4.309766640513852,4.538457139205866,4.3681120218454845,4.501415290434072
P02916,P02916,Maltose transport system permease protein malF,malF,>sp|P02916|MALF_ECOLI Maltose transport system permease protein malF OS=Escherichia coli (strain K12) GN=malF PE=1 SV=1,ECOLI,4.793274959180065,4.7948487456345825,4.8037548869351285,4.810384481681066,4.791372707845482,4.803392817388996,4.805644399811665,4.797380917659927
P02918,P02918,Penicillin-binding protein 1A;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase,mrcA,>sp|P02918|PBPA_ECOLI Penicillin-binding protein 1A OS=Escherichia coli (strain K12) GN=mrcA PE=1 SV=1,ECOLI,4.7910346608168695,4.761895975546757,4.768033160896179,4.780371854681172,4.762574287760094,4.7871039917922555,4.773252511377858,4.791703667597676
P02919-2;P02919,P02919-2;P02919,Penicillin-binding protein 1B;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase,mrcB,>sp|P02919-2|PBPB_ECOLI Isoform Gamma of Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB;>sp|P02919|PBPB_ECOLI Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2,ECOLI,4.89007010116224,4.878789872300706,4.902524983533128,4.892157385437178,4.88616735263878,4.904944339357402,4.879417127480354,4.8884477705938885
P02924,P02924,L-arabinose-binding periplasmic protein,araF,>sp|P02924|ARAF_ECOLI L-arabinose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=araF PE=1 SV=2,ECOLI,4.923031326616573,4.9275276509834045,4.919590049693359,4.924801806723074,4.924017769226431,4.921317645306644,4.927232406801253,4.932717115881783
P02925,P02925,D-ribose-binding periplasmic protein,rbsB,>sp|P02925|RBSB_ECOLI D-ribose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=rbsB PE=1 SV=1,ECOLI,5.176148056925275,5.158965779964591,5.172273930324365,5.1558001267659606,5.160051462016827,5.172125388556662,5.158589412743598,5.161232725952253
P02930,P02930,Outer membrane protein tolC,tolC,>sp|P02930|TOLC_ECOLI Outer membrane protein tolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3,ECOLI,5.0478618242814015,5.062075424675169,5.066581263159362,5.073490046576229,5.063240993367284,5.068811264386239,5.066551620364218,5.06836114713999
P02931;P02932,P02931,Outer membrane protein F,ompF,>sp|P02931|OMPF_ECOLI Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1,ECOLI,5.139349456960912,5.11541298108963,5.135677342709376,5.121044906877222,5.117967546943168,5.138748184725083,5.113769116286322,5.109844664710739
P02943,P02943,Maltoporin,lamB,>sp|P02943|LAMB_ECOLI Maltoporin OS=Escherichia coli (strain K12) GN=lamB PE=1 SV=1,ECOLI,5.02826060076742,5.032423094753096,5.0400103591403775,5.056160793630475,5.043309344859028,5.048058325195054,5.0569881236699565,5.045818083288367
P03004,P03004,Chromosomal replication initiator protein DnaA,dnaA,>sp|P03004|DNAA_ECOLI Chromosomal replication initiator protein DnaA OS=Escherichia coli (strain K12) GN=dnaA PE=1 SV=2,ECOLI,4.791124062599201,4.755095633457236,4.77241253642926,4.742188717685307,4.757478721320099,4.789138664035872,4.7718103603059765,4.741162373199815
P03018,P03018,DNA helicase II,uvrD,>sp|P03018|UVRD_ECOLI DNA helicase II OS=Escherichia coli (strain K12) GN=uvrD PE=1 SV=1,ECOLI,4.7523365884477595,4.759682764879945,4.7627438978026735,4.805667797145548,4.784131176073259,4.776341453086996,4.782195269079619,4.769064457506152
P03813,P03813,Uncharacterized protein YgeA,ygeA,>sp|P03813|YGEA_ECOLI Uncharacterized protein YgeA OS=Escherichia coli (strain K12) GN=ygeA PE=1 SV=1,ECOLI,4.8052916221116035,4.788986438191629,4.808282213741392,4.787993255373912,4.794599929822624,4.802717839059902,4.7797576091805976,4.792855085175993
P03817,P03817,Protein mioC,mioC,>sp|P03817|MIOC_ECOLI Protein mioC OS=Escherichia coli (strain K12) GN=mioC PE=1 SV=4,ECOLI,4.796336233341075,4.8117356866780385,4.8125691122209195,4.835434191809156,4.828300204185861,4.809560208632079,4.8149538096602615,4.821379980801534
P03819,P03819,Glutathione-regulated potassium-efflux system protein kefC,kefC,>sp|P03819|KEFC_ECOLI Glutathione-regulated potassium-efflux system protein kefC OS=Escherichia coli (strain K12) GN=kefC PE=1 SV=2,ECOLI,4.701768424728446,4.687457318787646,4.667963365948778,4.625818220348882,4.646255831134641,4.668424960766462,4.69693103152275,4.611843596330186
P03841,P03841,Maltose operon periplasmic protein,malM,>sp|P03841|MALM_ECOLI Maltose operon periplasmic protein OS=Escherichia coli (strain K12) GN=malM PE=4 SV=1,ECOLI,4.921417177983894,4.946164241979108,4.957182759766673,4.9623973078827,4.9531321312602294,4.9586007166034625,4.950692201234396,4.956198161566391
P04036,P04036,Dihydrodipicolinate reductase,dapB,>sp|P04036|DAPB_ECOLI Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1,ECOLI,4.895194250832287,4.890016826651817,4.902943793693051,4.910711571952354,4.895767714166415,4.903557643205227,4.901633083723889,4.894924858599464
P04040ups,P04040ups,NA,NA,>P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human),UPS,5.117471698604776,5.112642165844669,5.117358153052816,5.105847173922841,5.072959763293071,5.077860040522403,5.074266504320342,5.073217925408043
P04079,P04079,GMP synthase [glutamine-hydrolyzing],guaA,>sp|P04079|GUAA_ECOLI GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1,ECOLI,4.973227846263107,4.989413934717382,4.985068984917143,5.0051256934955966,4.999338172657104,4.98914769422753,5.004269609568309,4.998336496728825
P04128,P04128,"Type-1 fimbrial protein, A chain",fimA,">sp|P04128|FIMA1_ECOLI Type-1 fimbrial protein, A chain OS=Escherichia coli (strain K12) GN=fimA PE=1 SV=2",ECOLI,4.847170290791139,4.870693106675193,4.87781484945157,4.887868781245123,4.879441635312902,4.873502267877787,4.882706833933335,4.881046499242148
P04335,P04335,Esterase FrsA,frsA,>sp|P04335|FRSA_ECOLI Esterase frsA OS=Escherichia coli (strain K12) GN=frsA PE=3 SV=2,ECOLI,4.8985168280583045,4.896001815121154,4.897494021560445,4.878735864430465,4.875022395883808,4.902046921619881,4.891463625569175,4.879454100879075
P04425,P04425,Glutathione synthetase,gshB,>sp|P04425|GSHB_ECOLI Glutathione synthetase OS=Escherichia coli (strain K12) GN=gshB PE=1 SV=1,ECOLI,4.938064320252036,4.944544034362418,4.9585508407385275,4.955218345286451,4.943935437468205,4.96372700945425,4.948450999953172,4.95382707773524
